id,date,tweets,Emotions
3.009033443676201e+17,2013-02-11,10 ways to cut 100 calories just like that,"3, , 3, 4, 4"
3.0089579352990925e+17,2013-02-11,Protein on the go products are usually just sugary candy bars in disguise Here are 9 nutritionist approved picks,"1, , 1, 2, 6, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4"
3.008882565921014e+17,2013-02-11,Life With Breast Cancer Should You Google Your Medical Condition,"3, "
3.008806911162491e+17,2013-02-11,Is oral sex safe So glad you asked,"2, , 3, 3"
3.008731203975414e+17,2013-02-11,Clearer skin less pain increased flexibility and more surprising reasons to lose weight,"3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5"
3.0086564392064614e+17,2013-02-11,Could these two words help you resist temptation,"3, , 3, 3, 3, 3, 6"
3.0085802160359424e+17,2013-02-11,Life With Multiple Sclerosis Life With MS Can Have Beautiful Limitations,"3, , 3, 3"
3.008504882099937e+17,2013-02-11,7 powerful superfoods you might be missing BlackIsTheNewGreen,"3, , 3, 3, 3, 3, 4, 4, 4, 4, 5"
3.008429235939615e+17,2013-02-11,Say ahh for relief A new study finds that mindfulness meditation techniques may help relieve inflammation,"3, , 3, 3, 3, 3, 3, 3, 3, 3, 4, 6"
3.008353736328479e+17,2013-02-11,Does drinking apple cider vinegar really help you burn fat,"3, , 3, 3, 3, 3, 3, 3, 4, 4, 6"
3.0082778223621734e+17,2013-02-11,It s ok to fight w your partner Really 5 more things a marriage counselor would tell you,"1, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5"
3.008202443714765e+17,2013-02-11,Cranky Drink a glass of water Here s why,"3, , 3, 3, 4"
3.008128555345715e+17,2013-02-11,Want to eat much healthier but feel like it s just too expensive Here your budget friendly guide to healthy cooking,"2, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4"
3.008089039423611e+17,2013-02-11,The truth behind HIV myths sexualhealth,"3, , 3, 3, 3, 3, 3, 3, 6, 3, 4"
3.008051734570721e+17,2013-02-11,Need some help getting your zzzs 8 natural ways to fall asleep,"3, , 3, 3, 3, 3, 3, 3, 4, 6"
3.0079764008024064e+17,2013-02-11,Going out to eat tonight Have a small healthy snack before you leave to prevent overeating More tips,"2, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 4"
3.00790059085484e+17,2013-02-11,Chef Daniel shows us how portion size and meat choice makes a big difference in cutting calories in a dish EHYOUTUBE,"3, , 3, 3, 3, 3, 3, 4, 4, 5, 5"
3.0078251228267725e+17,2013-02-11,Try this recipe for a healthy oven baked chicken parm,"3, , 3, 3, 3, 3, 3, 3, 3"
3.00774956189483e+17,2013-02-11,Allergies got you bad Sinus clearing foods to eat this spring,"3, , 3"
3.007724766344151e+17,2013-02-11,Everyday Health Daily Digest is out,"3, , 3, 3"
3.0076742068616806e+17,2013-02-11,Must have gadgets that ll motivate you to burn more calories and shed more pounds,"3, , 3, 3, 3, 4, 4"
3.007636566758072e+17,2013-02-11,Thinking ab going vegan Then you NEED to check out our HealthTalk on Mon Feb 11 11 am ET More info here,"3, , 3, 3, 3, 3, 3"
3.007598633346826e+17,2013-02-11,How to pose for photos,"1, , 3, 5, 3, 3"
3.007523720560722e+17,2013-02-10,A new study suggests that poverty not pot can impact intelligence,"3, , 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5"
3.00744958988673e+17,2013-02-10,Get fat don t get fat The best healthy fat foods,"3, , 3, 3, 3, 4, 6"
3.007372787776266e+17,2013-02-10,Which state do you live in shares the most and least livable states of the future,"1, , 2, 3, 3, 3, 3, 3, 3, 3, 3"
3.007298432245432e+17,2013-02-10,10 tips to cure sleepless nights,"3, , 3, 4"
3.0072219085531136e+17,2013-02-10,From LHU to GYPO 20 sexting acronyms every parent should know,"3, , 3, 3, 3, 3, 3, 3"
3.0071475393490534e+17,2013-02-10,Do you have a healthy BMI Here s how to find out,"3, , 3, 3, 3, 3, 3, 3, 5"
3.007071349019935e+17,2013-02-10,How to get your chocolate fix in 150 calories or less today,"3, , 3, 3, 3, 3, 4"
3.006996930700288e+17,2013-02-10,Is an ultrasound the new condom Maybe,"3, , 3, 3, 3, 4"
