id,date,tweets,Emotions
1.1984143886647296e+17,2011-09-30,Small Study Links Surgery and Anesthesia With Alzheimer s,"3, , 3, 3"
1.1984142314623795e+17,2011-09-30,Black Women Tend to Suffer Disabilities Earlier Study Finds,"4, , 4, 4"
1.1984142177888666e+17,2011-09-30,Cancer Patients at Risk for Serious Blood Clots Study,"3, , 3"
1.1980960452274176e+17,2011-09-30,Listeria Worries Prompt Recall of Romaine Lettuce,"3, , 3, 3, 6"
1.1980960332316672e+17,2011-09-30,Study Says Big Tobacco Covered Up Info on Cancer Risk,"1, , 3"
1.1980960213199258e+17,2011-09-30,Anthrax Attack Plans Need to Be Handled Locally Report Says,"3, , 3, 3, 3"
1.1976930815392154e+17,2011-09-30,Doctors Consider Nonverbal Cues in Medical Decisions,"3, , 3, 3"
1.197693067404247e+17,2011-09-30,Down Syndrome Brings Joy Not Regrets for Many Families,"3, , 3, 3, 3, 3, 4"
1.1976930559537971e+17,2011-09-30,Yawning May Help the Brain Chill Out,"3, , 4"
1.1956056679580877e+17,2011-09-29,FDA Warns LASIK Providers Stop Making False Claims,"3, , 3, 3, 3"
1.1952794097852006e+17,2011-09-29,Otherwise Healthy Older Men Undertreated for Prostate Cancer Study,"3, , 3, 3, 3, 3"
1.1952793921690829e+17,2011-09-29,New Genes Revealed for Type 1 Diabetes,"3, , 3, 3"
1.1952793794183578e+17,2011-09-29,Does Your Picky Eater Have a Feeding Disorder,"3, "
1.1951161617692672e+17,2011-09-29,No One Treatment for Acid Reflux Clearly Better Than Another Study,"3, , 3, 3, 3, 4, 6"
1.1951161508220518e+17,2011-09-29,Modern Shift Work Patterns May Be Less Harmful to Health,"3, "
1.1951161400847565e+17,2011-09-29,Brain Continues to Develop Beyond Adolescence,"3, "
1.1947917761852211e+17,2011-09-29,1 in 5 American Workers Still Smokes CDC,"3, , 3, 3, 4"
1.194791594613842e+17,2011-09-29,Twitter Reflects World s Changing Moods,"3, "
1.194791582198702e+17,2011-09-29,Campus Smoking Bans May Help College Students Quit,"3, , 3, 3"
1.1945526810601882e+17,2011-09-29,1 in 4 U S Adults Treated for High Blood Pressure Report,"3, "
1.1945526696097382e+17,2011-09-29,Abnormal Protein May Explain Loss of Smell With Alzheimer s,"1, , 2, 6, 2, 4, 4, 5, 5"
1.1945526523712307e+17,2011-09-29,Singing May Help Some Stroke Victims Regain Speech,"2, , 3, 3"
1.1940613343688294e+17,2011-09-29,Magic Mushroom Compound Triggered Positive Personality Change in Study,"1, , 3"
1.1940613167527936e+17,2011-09-29,Bellowing Koalas Signal Size to Potential Mates,"3, , 5"
1.1916175086310195e+17,2011-09-28,Cheap Drug Helps Smokers Quit Study Finds,"3, , 3"
1.1916174946219213e+17,2011-09-28,End Stage Alzheimer s Patients Often Hospitalized Unnecessarily,"3, "
1.1916174803612877e+17,2011-09-28,Cancer Patients Should Ask Doctors to Use Simple Terms,
1.191453014739026e+17,2011-09-28,Even Slightly Higher Blood Pressure May Boost Stroke Risk,
1.1914530031627469e+17,2011-09-28,Teens With Lots of Friends More Likely to Start Drinking Study,"3, , 3, 3, 3, 4"
1.1912041762874982e+17,2011-09-28,Listeria Outbreak May Be Worst in More Than a Decade,"4, "
1.1912041418943283e+17,2011-09-28,Gene Variant Linked to Failure of Asthma Drug,"2, , 3, 3"
1.1912041283047424e+17,2011-09-28,Pandemic Flu of 1918 Circulated Months Before Deaths Peaked,"3, , 3, 3"
1.190937492834304e+17,2011-09-28,Study Suggests Link Between Sleep Deprivation Alzheimer s Risk,"3, "
1.1909374748407808e+17,2011-09-28,End of Life Directives Do Not Hasten Death Study Finds,
1.1909374403216998e+17,2011-09-28,Experts Point Out Signs of Dangerous Heart Rhythm,"3, , 3"
1.190937397497774e+17,2011-09-28,TNF Treatment for Rheumatoid Arthritis Boosts Skin Cancer Risk,"3, , 3"
1.1904695254450586e+17,2011-09-28,Number of U S Kids on ADHD Meds Keeps Rising,"3, , 4"
1.190469511310377e+17,2011-09-28,Lung Function of Late Preemies May Improve With Age,"3, , 3"
1.1904694937780224e+17,2011-09-28,Teen Drinking Most Influenced by Friends of Friends Study,"3, , 3, 3, 4, 6"
1.1882904309216051e+17,2011-09-27,Super Tight Blood Sugar Control May Not Ease Mental Decline in Diabetics,"3, "
1.1880396078095155e+17,2011-09-27,Mixed Results Seen With Off Label Use of Antipsychotics,"1, , 3"
1.1878570001865114e+17,2011-09-27,Lots of Coffee Might Lower Depression Risk Study,"3, , 4, 4, 5"
1.1878569886521754e+17,2011-09-27,Do Men Need Colon Cancer Screening Earlier Than Women Do,"4, "
1.1878569652061798e+17,2011-09-27,Cost of U S Workers Health Premiums Surged in 2011,
1.1878569471705498e+17,2011-09-27,Saw Palmetto Doesn t Help Enlarged Prostate Study,"3, , 3"
1.1878569322807296e+17,2011-09-27,Surgeon Experience Matters in Neck Artery Procedure Study,"3, "
1.1876018919217562e+17,2011-09-27,Mental Health Disabilities in U S on the Rise Study,"3, , 3"
1.1876018784161792e+17,2011-09-27,Fatalism Keeps Many From Colon Cancer Screening,"3, "
1.1876018609679565e+17,2011-09-27,Extra Pounds Linked to Weaker Legs in Older Women,
1.1872827961941606e+17,2011-09-27,Sleepy Teens Prone to Bad Behaviors Study Finds,"3, "
1.1872827707767194e+17,2011-09-27,Spinal Surgery Riskier for Certain Patients Study Finds,"3, "
1.1867941983657984e+17,2011-09-27,U S Scientists Map Genome of Advanced Prostate Cancer,"3, "
1.186794176723026e+17,2011-09-27,Fiber Beats Other Remedies for Constipated Kids Study Says,"3, , 3, 3, 3, 4"
1.1867941554160845e+17,2011-09-27,With Rude Workers Customers Walk but Don t Talk,"3, , 3"
1.1846863446829056e+17,2011-09-26,Childless Men May Face Higher Heart Disease Risk,"1, , 2, 6, 3, 3, 3"
1.1842711972964352e+17,2011-09-26,Newer Contraceptive Pills Could Raise Clot Risk FDA Warns,"1, , 2, 6, 3, 3, 4, 5"
1.1842711592122368e+17,2011-09-26,Many Doctors Think Patients Get Over Treated Study Says,"3, "
1.18427113098453e+17,2011-09-26,Lots of Coffee Might Lower Depression Risk Study,"3, , 4, 4, 5"
1.184271118653358e+17,2011-09-26,More Frequent Doctor Visits May Benefit Diabetes Patients,"3, , 3"
1.1842711046023578e+17,2011-09-26,Hip Fracture May Raise a Woman s Risk of Earlier Death,"3, , 4"
1.1839880905426125e+17,2011-09-26,Check Plastic Surgeon s Credentials or Risk Tragic Results Experts Warn,"1, , 3, 3, 3, 4"
1.1836385484879872e+17,2011-09-26,Couples Counseling Boosts Sex Lives After Prostate Cancer,"3, "
1.1836385305782272e+17,2011-09-26,Certain Antidepressants With Blood Thinners May Pose Risk for Heart Patients,"2, , 3, 3, 3, 5"
1.1831536494064435e+17,2011-09-26,Asthma Can Complicate Diabetes Care in Kids,
1.1831536316647014e+17,2011-09-26,Experts Revise Guidelines for Whooping Cough Vaccination,"3, , 3"
1.1831536208433971e+17,2011-09-26,Broccoli Cabbage Other Veggies May Protect Against Colon Cancer,"1, , 2, 6, 2, 3, 3"
1.1831536002073395e+17,2011-09-26,Breast Feeding Boost Fewer Hospitals Handing Out Free Formula,"3, , 3"
1.1795995473596006e+17,2011-09-25,Bone Drug Fails to Prevent Breast Cancer Recurrence Study,"3, , 3, 3, 3, 3, 3"
1.1795995299951411e+17,2011-09-25,Self Compassion Can Help Divorced People Heal,"4, "
1.1759100868598989e+17,2011-09-24,Good Moms Seem to Help Poor Kids Become Healthy Adults,"3, "
1.1735168773535334e+17,2011-09-23,Many Black Men in Cold Climates Lack Vitamin D,"3, , 3, 4, 4"
1.1735168671612928e+17,2011-09-23,Most Patients Want Experienced Surgeons Not Trainees,"2, , 3"
1.1733566673558733e+17,2011-09-23,Americans Spending More of Their Lives Struggling With Diabetes,"3, , 3, 3, 3, 4"
1.1733566560731136e+17,2011-09-23,ADHD Symptoms May Add to Burden of Autism,"3, "
1.1733566374505677e+17,2011-09-23,Ever Wonder How Doctors Make Referrals,"4, "
1.1730418479726592e+17,2011-09-23,Antioxidants Not Behind Red Wine s Healthy Effect on Heart Study,"2, , 3, 3"
1.173041837487022e+17,2011-09-23,A Woman s Voice Doesn t Give Away Ovulation Status,"3, "
1.173041811020882e+17,2011-09-23,Foreign Born U S Women Getting Mammograms,"3, "
1.172883539169198e+17,2011-09-23,Magnetic Field May Cause MRI Induced Vertigo,"3, , 3"
1.172883528473682e+17,2011-09-23,Depression After Cancer Keeps Some From Follow Up Care,"5, "
1.1728835190784e+17,2011-09-23,Scientists ID More Genes Linked to Heart Disease,"3, , 3, 3"
1.1728835082572186e+17,2011-09-23,People Tend to Choose Friends Just Like Themselves,"4, "
1.1723291626163814e+17,2011-09-23,Many With Irregular Heartbeat Unaware of Raised Stroke Risk,"1, , 1, 2, 6, 3, 3, 3"
1.1723291511659315e+17,2011-09-23,Stress the Human in HPV One Man Suggests,"3, "
1.1723291389605478e+17,2011-09-23,CDC Considers Vaccinating Boys Not Just Girls for HPV,"3, , 3"
1.1701980332727091e+17,2011-09-22,Study Suggests Link Between Stress and Aggressive Breast Cancer,"3, , 3, 3"
1.1698850475135795e+17,2011-09-22,Genetic Links Seen Between Bipolar Illness and Schizophrenia,"3, , 3, 3"
1.1697247861775155e+17,2011-09-22,Cardiac Rehab May Cut Risk Factors After Mini Stroke,"3, , 3"
1.1697238939231846e+17,2011-09-22,Death Rate Higher in Minorities With Acute Leukemia,"3, , 4, 4"
1.169409269113815e+17,2011-09-22,Bed Bug Insecticides Causing Sickness CDC Warns,"2, , 3, 3, 6, 4"
1.169409258711982e+17,2011-09-22,Asthma Inhaler Primatene Mist Going Off the Market,"3, , 3, 3, 5, 6"
1.1694092488553267e+17,2011-09-22,New Report Casts More Doubt on Virus Link to Chronic Fatigue Syndrome,"3, "
1.1694092353497088e+17,2011-09-22,Popular Diabetes Drugs May Raise Pancreatic Cancer Risk Study Suggests,"3, "
1.169409219746898e+17,2011-09-22,Lung Disease Puts Many Black Patients Back in Hospital Report,"3, , 3, 3, 4"
1.1691729854307942e+17,2011-09-22,Infections Linked to Swimming Drinking Water CDC,"3, , 3"
1.1691729722606797e+17,2011-09-22,Scientists Reconstruct the Movies in Our Minds,"3, , 3, 4"
1.1691729601391002e+17,2011-09-22,Too Few Uninsured Women Get Info on Breast Reconstruction,"1, , 3, 3, 3, 4, 4"
1.1686940944381542e+17,2011-09-22,In Older Men Prostate Biopsies Can Raise Risk of Hospitalization,"3, "
1.1686940804711629e+17,2011-09-22,Liposuction May Lower Certain Blood Fats Researcher Says,"3, , 3, 3, 3, 4"
1.1686940311042458e+17,2011-09-22,Less Play Time More Troubled Kids Experts Say,"3, , 3"
1.1663050975648973e+17,2011-09-21,Vaccine for Childhood Diarrhea Helps Kids Saves Dollars,"3, "
1.1663050844367258e+17,2011-09-21,Movement Disorders on YouTube Not What They Seem Experts Warn,"3, , 3"
1.1663050676594688e+17,2011-09-21,Japan Reactor Fallout Reached San Francisco Bay Area Study,"3, , 3, 3, 3, 3, 4"
1.1663050559573606e+17,2011-09-21,Two Day Dialysis Interval Could Pose Danger Study,
1.1663050368732365e+17,2011-09-21,Drug Shows Promise Against Deadly Lung Disease,"3, , 3, 3, 3, 5"
1.1661451694245478e+17,2011-09-21,Quitting Smoking Could Give Memory a Boost,"3, , 3"
1.1657941988318003e+17,2011-09-21,CDC Urges Americans Get Your Flu Shot,"1, , 3, 3"
1.1657941878007808e+17,2011-09-21,Previous Infant Death Linked to Raised Risk of Stillbirth,"2, , 3, 3, 4"
1.16553099119829e+17,2011-09-21,CDC Moves to Make Organ Transplantation Safer,"2, , 3, 3"
1.1655309784476877e+17,2011-09-21,Scientists Discover Key Gene Mutation Behind Lou Gehrig s Disease,"3, , 3, 3, 3, 3"
1.16553095034581e+17,2011-09-21,Traffic Pollution May Raise Short Term Heart Attack Risk,"3, , 3"
1.1655309360431923e+17,2011-09-21,Many Unaware of Plastic Surgery Options After Weight Loss Procedures,"1, , 3, 3, 4"
1.1650316514637414e+17,2011-09-21,Could Divorce Trigger Hair Loss in Women,
1.1650316408940544e+17,2011-09-21,Mother Child Death Rates Down But Still Short of 2015 Goal,"3, , 3, 3, 3, 4"
1.1650316231941734e+17,2011-09-21,Anti Wrinkle Gel Might Work Like Botox Without Needles,"3, "
1.1626793760575078e+17,2011-09-20,Genes May Explain Blacks Bleaker Prostate Cancer Stats,"3, , 4, 4, 4"
1.1625088995361587e+17,2011-09-20,Problems From Preterm Birth May Return in Adulthood,"2, , 3, 3, 3"
1.16250888724693e+17,2011-09-20,New Test Predicts Risk for Impotence After Prostate Cancer Therapy,"1, , 3, 3, 3, 3"
1.1625088764255027e+17,2011-09-20,Adding Psychotherapy to Meds Helps Kids With OCD,"1, , 3, 3, 3, 3, 5"
1.1625088640943309e+17,2011-09-20,Depression Tied to Higher Risk for Stroke,"3, , 5"
1.162232576985047e+17,2011-09-20,Higher Risk of Second Breast Cancer Seen in Black Women,"3, , 4, 4"
1.1622325637730714e+17,2011-09-20,Cash Luxury Goods Really Do Get People Salivating Study,"3, , 4"
1.1618994011465728e+17,2011-09-20,MRI Can Spot Breast Cancer in High Risk Women Study,"3, "
1.1618993541285478e+17,2011-09-20,The War on Cancer Continues,
1.1614796809202893e+17,2011-09-20,Why Many With Breast Implants Fail at Breast Feeding,"2, , 3, 3, 3, 3"
1.1614796651915264e+17,2011-09-20,Researchers Find Link Between Epilepsy Schizophrenia Risk,"3, , 3, 3, 3, 3"
1.1614796530281267e+17,2011-09-20,Can Fatty Acids in Breast Milk or Formula Make Kids Smarter,"3, , 3"
1.158997453644759e+17,2011-09-19,Hospitals Serving More Minorities Have Higher Trauma Death Rate,"4, "
1.1589974421943091e+17,2011-09-19,Two Varicose Veins Treatments Equally Effective,"3, , 3"
1.158997430618194e+17,2011-09-19,ADHD Drug Delays Puberty in Male Monkeys Study Finds,"3, , 3, 3"
1.158997418203054e+17,2011-09-19,Heart Failure Care Influenced by Insurance Coverage,"3, , 3, 3, 3, 6"
1.158997404319785e+17,2011-09-19,More Evidence Links Diabetes Dementia,
1.1586681828292608e+17,2011-09-19,Journaling Might Ease Depression in Testicular Cancer Patients,"3, , 5"
1.1584191469519667e+17,2011-09-19,Global Toll of Non Communicable Diseases 47 Trillion by 2030,"3, , 3, 3, 4"
1.1584191303425638e+17,2011-09-19,Brains of Obese May Crave High Calorie Foods More Study,"3, "
1.1584191064349491e+17,2011-09-19,Obese Kids May Face Social Emotional Woes,"1, , 2, 6, 3"
1.158419093894103e+17,2011-09-19,U S Flu Shot Policy Shields More Kids Than Canada s Program Study Finds,"1, , 2"
1.1579101445896192e+17,2011-09-19,Exercise Ups Kids Quit Smoking Success Rate,"3, , 3"
1.1579101339360051e+17,2011-09-19,Lack of Sleep Hurts Kids Academic Performance Study,"3, , 3"
1.1579101141390131e+17,2011-09-19,Recession Tied to Rise in Child Abuse Injuries,"3, , 3"
1.154175983798313e+17,2011-09-18,Are Sports Obsessions Damaging Your Relationships,"1, , 2, 6, 3, 3, 3"
